auc,accuracy,precision,recall,f1_macro,f1_micro,precision_pos,precision_neg,recall_pos,recall_neg,repeat,fold
0.9844495394717305,0.941154879289921,0.9394130745455149,0.9431431431431432,0.9411546354853098,0.941154879289921,0.9394130745455149,0.9429107477887966,0.9431431431431432,0.9391664163913638,0,0
0.980598756285435,0.934473741192931,0.9457324403228576,0.9212419284686674,0.9344543365059486,0.934473741192931,0.9457324403228576,0.9238729707004721,0.9212419284686674,0.9475918800583787,0,1
0.9797718727228961,0.9304022575851186,0.9236475126100286,0.9379959154976731,0.9304003319980547,0.9304022575851187,0.9236475126100286,0.9373350477092779,0.9379959154976731,0.9228462922246652,0,2
0.9848402247600123,0.9387938494308726,0.9297019727647957,0.9497028651107201,0.938783053896962,0.9387938494308726,0.9297019727647957,0.9483340722299901,0.9497028651107201,0.9278302358946983,0,3
0.9800451146022566,0.9319547808134792,0.9389225589225589,0.9246327796014456,0.931953995850958,0.9319547808134792,0.9389225589225589,0.9251391496228963,0.9246327796014456,0.9393392188336008,0,4
0.9797666344357826,0.9325077811620979,0.9376379321875209,0.9275578049022527,0.932507722527246,0.9325077811620979,0.9376379321875209,0.9274233637116819,0.9275578049022527,0.9375209380234506,1,0
0.984212095151543,0.9381331644894695,0.9328527698232448,0.944259345638702,0.9381306972031634,0.9381331644894695,0.9328527698232448,0.9435464822001012,0.944259345638702,0.9320045330311313,1,1
0.9808431416772654,0.9349079877316976,0.9405716218501606,0.928294832420884,0.9349039752819992,0.9349079877316976,0.9405716218501606,0.9294048049429783,0.928294832420884,0.9415035290984153,1,2
0.9846809605400755,0.9409165193609712,0.9357256566728576,0.9461752573862302,0.9409165189502038,0.9409165193609712,0.9357256566728576,0.9461662306299055,0.9461752573862302,0.9357149965170664,1,3
0.9815490910162038,0.9360250829705976,0.9337557221521927,0.9386754701880752,0.9360245504114872,0.9360250829705976,0.9337557221521927,0.9383196377662251,0.9386754701880752,0.9333733693657625,1,4
0.9803964960053393,0.9312048713938709,0.9288191577208919,0.93421926910299,0.9312034934380568,0.9312048713938709,0.9288191577208919,0.9336260936609567,0.93421926910299,0.9281810304605745,2,0
0.9802746828432056,0.9337135424483466,0.9399048266485384,0.9260859372383536,0.9337048160665375,0.9337135424483466,0.9399048266485384,0.9277506792811078,0.9260859372383536,0.9412780656303973,2,1
0.9835924218654755,0.9363871506049228,0.9247493815909387,0.9498529018454133,0.936378194295131,0.9363871506049228,0.9247493815909387,0.9486318961679394,0.9498529018454133,0.9229667144237497,2,2
0.9847373804179679,0.9389935010831528,0.9315830823621841,0.9476839055579607,0.9389880543795983,0.9389935010831528,0.9315830823621841,0.9466770755549522,0.9476839055579607,0.930289183149328,2,3
0.9805719276824169,0.9360251966404479,0.9393544070914869,0.9327089145741996,0.936025196196297,0.9360251966404479,0.9393544070914869,0.9327200876697772,0.9327089145741996,0.9393645484949833,2,4
0.9829920476760727,0.9396788876106638,0.9482108267917219,0.9301930193019302,0.9396737223284657,0.9396788876106638,0.9482108267917219,0.9314611154752553,0.9301930193019302,0.9491695017010207,3,0
0.9795248968929944,0.9318303006065454,0.9335201307581974,0.9302619332535567,0.9318302513735971,0.9318303006065455,0.9335201307581974,0.9301435088069789,0.9302619332535567,0.9334068430900828,3,1
0.9846285094507631,0.9394212175768487,0.9314293235061858,0.9480876147096255,0.9394200619898643,0.9394212175768487,0.9314293235061858,0.9476280578456548,0.9480876147096255,0.9308330567540657,3,2
0.9813585129442652,0.933629940678531,0.927761900068986,0.9405848264837141,0.9336261252461285,0.933629940678531,0.927761900068986,0.9396706232457476,0.9405848264837141,0.9266657773627693,3,3
0.981349069180327,0.9360599750104124,0.9394894844530909,0.9322970409080318,0.936059468153567,0.9360599750104124,0.9394894844530909,0.9326757579769628,0.9322970409080318,0.9398305650056701,3,4
0.9796950564373506,0.9326687856750595,0.941104586034828,0.9230564341601465,0.932662139234657,0.9326687856750595,0.941104586034828,0.9245560198485244,0.9230564341601465,0.9422744210806494,4,0
0.9800081996511931,0.9331168831168831,0.934646253456532,0.9302231918107065,0.9331099604534512,0.933116883116883,0.934646253456532,0.9316253371045189,0.9302231918107065,0.9359656368742773,4,1
0.9834978287001305,0.9364822477309129,0.9296544948419846,0.9447846635159423,0.9364748909243451,0.9364822477309129,0.9296544948419846,0.9435733478453114,0.9447846635159423,0.92813650050184,4,2
0.9815863441797212,0.9333744704979821,0.9294861243704118,0.9384139856421164,0.9333697817705624,0.9333744704979821,0.9294861243704118,0.9373669089065405,0.9384139856421164,0.9282988551918055,4,3
0.9818293249660772,0.9360648356596127,0.9362226216630051,0.9361602982292637,0.9360645838856745,0.9360648356596127,0.9362226216630051,0.935906432748538,0.9361602982292637,0.9359689870668048,4,4
