auc,accuracy,precision,recall,f1_macro,f1_micro,precision_pos,precision_neg,recall_pos,recall_neg,repeat,fold
0.9792557052714934,0.9309587414663105,0.92020722389442,0.9437518551498961,0.9309474400648712,0.9309587414663104,0.92020722389442,0.9422748872913367,0.9437518551498961,0.9181656277827248,0,0
0.9759157626789172,0.9301847252406085,0.9235118820203255,0.9380627134430302,0.9301803920473575,0.9301847252406085,0.9235118820203255,0.9370712088951976,0.9380627134430302,0.9223067370381869,0,1
0.9708848497237027,0.9232250345833177,0.9237795747229709,0.9225707555987588,0.9232250017174005,0.9232250345833177,0.9237795747229709,0.9226719438428795,0.9225707555987588,0.9238793135678768,0,2
0.9786987404737326,0.9283679205328611,0.912074074074074,0.948138451468833,0.9283399104746604,0.9283679205328611,0.912074074074074,0.9460033672733104,0.948138451468833,0.9085973895968891,0,3
0.9554030053198608,0.9046656093047846,0.9157320153165142,0.8913560666137986,0.9046487184043523,0.9046656093047846,0.9157320153165142,0.894173082369905,0.8913560666137986,0.9179751519957705,0,4
0.9830134041258549,0.9412268072043682,0.9489468737907015,0.9326288337725136,0.9412224620662283,0.9412268072043682,0.9489468737907015,0.9337677598547164,0.9326288337725136,0.9498247806362229,1,0
0.9692110463972896,0.9230581508855111,0.9265078026149304,0.9190140845070423,0.923056892521547,0.9230581508855111,0.9265078026149304,0.9196638539217042,0.9190140845070423,0.9271022172639799,1,1
0.9593125007144814,0.906782334384858,0.9221703026875799,0.8885574992830514,0.9067513623520549,0.906782334384858,0.9221703026875799,0.8924766885254973,0.8885574992830514,0.9250071694866647,1,2
0.9755310247047666,0.926929923935912,0.914962562134273,0.9413497329664995,0.9269147272499221,0.926929923935912,0.914962562134273,0.9396080522596987,0.9413497329664995,0.9125101149053245,1,3
0.9668042466169723,0.9146042244506081,0.9264786568638209,0.9006827394922124,0.9145876708798386,0.9146042244506081,0.9264786568638209,0.9033731188375713,0.9006827394922124,0.9285257094090036,1,4
0.9808707864059312,0.9361607527035942,0.9344782260829809,0.9380970138550242,0.9361605133625123,0.9361607527035942,0.9344782260829809,0.9378563612278984,0.9380970138550242,0.9342244915521644,2,0
0.9698379951476757,0.9203755800812715,0.9254185322172475,0.9144485320637669,0.9203727827852366,0.9203755800812715,0.9254185322172475,0.9154507865595741,0.9144485320637669,0.9263026280987762,2,1
0.9675014401603058,0.9203878877556413,0.9336567815089403,0.905089045077419,0.9203692498132705,0.9203878877556413,0.9336567815089403,0.907906881345503,0.905089045077419,0.9356867304338635,2,2
0.9756412407569219,0.9234011440368156,0.9041090267230409,0.9472710851146188,0.9233574751121678,0.9234011440368156,0.9041090267230409,0.9446276139289101,0.9472710851146188,0.8995312029590126,2,3
0.9676396320200698,0.9167410145296967,0.9139186024431926,0.9201503951057863,0.9167400467263314,0.9167410145296967,0.9139186024431926,0.9196021815848572,0.9201503951057863,0.913331633953607,2,4
0.9702031918152804,0.9226164680390032,0.9246176454580091,0.9202600216684724,0.9226160383382844,0.9226164680390032,0.9246176454580091,0.9206340648083248,0.9202600216684724,0.9249729144095341,3,0
0.978090598233044,0.9275308247166258,0.91304497082046,0.9450662686991437,0.9275085341856322,0.9275308247166258,0.91304497082046,0.9430696715274709,0.9450662686991437,0.9099953807341079,3,1
0.9676997240540377,0.911881123163051,0.8972266160497733,0.9303271518544437,0.9118511299833838,0.911881123163051,0.8972266160497733,0.9276583183851411,0.9303271518544437,0.8934350944716585,3,2
0.9809259211803707,0.934847798040378,0.9293830050957168,0.9412113393075072,0.934845159617435,0.934847798040378,0.9293830050957168,0.9404534859080314,0.9412113393075072,0.9284842567732488,3,3
0.9739173698207251,0.9257535002413959,0.9129925737606208,0.941202841575281,0.9257357746966068,0.9257535002413959,0.9129925737606208,0.9393281616966764,0.941202841575281,0.9103041589075108,3,4
0.9777752562936496,0.930164200283803,0.9430062630480167,0.9156699777011961,0.9301495259224016,0.930164200283803,0.9430062630480167,0.9180457052797478,0.9156699777011961,0.9446584228664099,4,0
0.9848933810153722,0.9397079169869331,0.9222842294859303,0.9603382013835511,0.9396822452297021,0.9397079169869331,0.9222842294859303,0.9586313055190329,0.9603382013835511,0.9190776325903152,4,1
0.9652891879108357,0.9123806791508007,0.9329664010515074,0.8886077930207084,0.9123311330805833,0.9123806791508007,0.9329664010515074,0.8936636374953317,0.8886077930207084,0.936153565280893,4,2
0.9648700411844299,0.9173121456520004,0.9195231596692622,0.914676994330432,0.9173115714616931,0.9173121456520004,0.9195231596692622,0.9151243148780681,0.914676994330432,0.9199472969735686,4,3
0.9562284622572652,0.9039664755696534,0.9282166764352038,0.8756511363967058,0.9038894181001647,0.9039664755696533,0.9282166764352038,0.8823156793081605,0.8756511363967058,0.9322818147426011,4,4
