Split Strategy,AUC,ACCURACY,PRECISION,RECALL,F1_MACRO,F1_MICRO
TCR,0.9819 ± 0.0019,0.9355 ± 0.0031,0.9350 ± 0.0060,0.9363 ± 0.0086,0.9355 ± 0.0031,0.9355 ± 0.0031
EPI,0.9718 ± 0.0078,0.9229 ± 0.0100,0.9228 ± 0.0111,0.9234 ± 0.0217,0.9229 ± 0.0100,0.9229 ± 0.0100
